x,y,z,r
0.025,0.025,17.0462,0.025
0.075,0.025,17.0462,0.025
0.125,0.025,17.0462,0.025
0.175,0.025,17.0462,0.025
0.22499999999999998,0.025,17.0462,0.025
0.27499999999999997,0.025,17.0462,0.025
0.325,0.025,17.0462,0.025
0.375,0.025,17.0462,0.025
0.425,0.025,17.0462,0.025
0.475,0.025,17.0462,0.025
0.025,0.075,17.0462,0.025
0.075,0.075,17.0462,0.025
0.125,0.075,17.0462,0.025
0.175,0.075,17.0462,0.025
0.22499999999999998,0.075,17.0462,0.025
0.27499999999999997,0.075,17.0462,0.025
0.325,0.075,17.0462,0.025
0.375,0.075,17.0462,0.025
0.425,0.075,17.0462,0.025
0.475,0.075,17.0462,0.025
0.025,0.125,17.0462,0.025
0.075,0.125,17.0462,0.025
0.125,0.125,17.0462,0.025
0.175,0.125,17.0462,0.025
0.22499999999999998,0.125,17.0462,0.025
0.27499999999999997,0.125,17.0462,0.025
0.325,0.125,17.0462,0.025
0.375,0.125,17.0462,0.025
0.425,0.125,17.0462,0.025
0.475,0.125,17.0462,0.025
0.025,0.175,17.0462,0.025
0.075,0.175,17.0462,0.025
0.125,0.175,17.0462,0.025
0.175,0.175,17.0462,0.025
0.22499999999999998,0.175,17.0462,0.025
0.27499999999999997,0.175,17.0462,0.025
0.325,0.175,17.0462,0.025
0.375,0.175,17.0462,0.025
0.425,0.175,17.0462,0.025
0.475,0.175,17.0462,0.025
0.025,0.22499999999999998,17.0462,0.025
0.075,0.22499999999999998,17.0462,0.025
0.125,0.22499999999999998,17.0462,0.025
0.175,0.22499999999999998,17.0462,0.025
0.22499999999999998,0.22499999999999998,17.0462,0.025
0.27499999999999997,0.22499999999999998,17.0462,0.025
0.325,0.22499999999999998,17.0462,0.025
0.375,0.22499999999999998,17.0462,0.025
0.425,0.22499999999999998,17.0462,0.025
0.475,0.22499999999999998,17.0462,0.025
0.025,0.27499999999999997,17.0462,0.025
0.075,0.27499999999999997,17.0462,0.025
0.125,0.27499999999999997,17.0462,0.025
0.175,0.27499999999999997,17.0462,0.025
0.22499999999999998,0.27499999999999997,17.0462,0.025
0.27499999999999997,0.27499999999999997,17.0462,0.025
0.325,0.27499999999999997,17.0462,0.025
0.375,0.27499999999999997,17.0462,0.025
0.425,0.27499999999999997,17.0462,0.025
0.475,0.27499999999999997,17.0462,0.025
0.025,0.325,17.0462,0.025
0.075,0.325,17.0462,0.025
0.125,0.325,17.0462,0.025
0.175,0.325,17.0462,0.025
0.22499999999999998,0.325,17.0462,0.025
0.27499999999999997,0.325,17.0462,0.025
0.325,0.325,17.0462,0.025
0.375,0.325,17.0462,0.025
0.425,0.325,17.0462,0.025
0.475,0.325,17.0462,0.025
0.025,0.375,17.0462,0.025
0.075,0.375,17.0462,0.025
0.125,0.375,17.0462,0.025
0.175,0.375,17.0462,0.025
0.22499999999999998,0.375,17.0462,0.025
0.27499999999999997,0.375,17.0462,0.025
0.325,0.375,17.0462,0.025
0.375,0.375,17.0462,0.025
0.425,0.375,17.0462,0.025
0.475,0.375,17.0462,0.025
0.025,0.425,17.0462,0.025
0.075,0.425,17.0462,0.025
0.125,0.425,17.0462,0.025
0.175,0.425,17.0462,0.025
0.22499999999999998,0.425,17.0462,0.025
0.27499999999999997,0.425,17.0462,0.025
0.325,0.425,17.0462,0.025
0.375,0.425,17.0462,0.025
0.425,0.425,17.0462,0.025
0.475,0.425,17.0462,0.025
0.025,0.475,17.0462,0.025
0.075,0.475,17.0462,0.025
0.125,0.475,17.0462,0.025
0.175,0.475,17.0462,0.025
0.22499999999999998,0.475,17.0462,0.025
0.27499999999999997,0.475,17.0462,0.025
0.325,0.475,17.0462,0.025
0.375,0.475,17.0462,0.025
0.425,0.475,17.0462,0.025
0.475,0.475,17.0462,0.025
0.025,0.5249999999999999,17.0462,0.025
0.475,0.5249999999999999,17.0462,0.025
0.025,0.575,17.0462,0.025
0.475,0.575,17.0462,0.025
0.025,0.625,17.0462,0.025
0.475,0.625,17.0462,0.025
0.025,0.6749999999999999,17.0462,0.025
0.475,0.6749999999999999,17.0462,0.025
0.025,0.725,17.0462,0.025
0.075,0.725,17.0462,0.025
0.125,0.725,17.0462,0.025
0.175,0.725,17.0462,0.025
0.22499999999999998,0.725,17.0462,0.025
0.27499999999999997,0.725,17.0462,0.025
0.325,0.725,17.0462,0.025
0.375,0.725,17.0462,0.025
0.425,0.725,17.0462,0.025
0.475,0.725,17.0462,0.025
0.025,0.7749999999999999,17.0462,0.025
0.075,0.7749999999999999,17.0462,0.025
0.125,0.7749999999999999,17.0462,0.025
0.175,0.7749999999999999,17.0462,0.025
0.22499999999999998,0.7749999999999999,17.0462,0.025
0.27499999999999997,0.7749999999999999,17.0462,0.025
0.325,0.7749999999999999,17.0462,0.025
0.375,0.7749999999999999,17.0462,0.025
0.425,0.7749999999999999,17.0462,0.025
0.475,0.7749999999999999,17.0462,0.025
0.025,0.825,17.0462,0.025
0.075,0.825,17.0462,0.025
0.125,0.825,17.0462,0.025
0.175,0.825,17.0462,0.025
0.22499999999999998,0.825,17.0462,0.025
0.27499999999999997,0.825,17.0462,0.025
0.325,0.825,17.0462,0.025
0.375,0.825,17.0462,0.025
0.425,0.825,17.0462,0.025
0.475,0.825,17.0462,0.025
0.025,0.875,17.0462,0.025
0.075,0.875,17.0462,0.025
0.125,0.875,17.0462,0.025
0.175,0.875,17.0462,0.025
0.22499999999999998,0.875,17.0462,0.025
0.27499999999999997,0.875,17.0462,0.025
0.325,0.875,17.0462,0.025
0.375,0.875,17.0462,0.025
0.425,0.875,17.0462,0.025
0.475,0.875,17.0462,0.025
0.025,0.9249999999999999,17.0462,0.025
0.075,0.9249999999999999,17.0462,0.025
0.125,0.9249999999999999,17.0462,0.025
0.175,0.9249999999999999,17.0462,0.025
0.22499999999999998,0.9249999999999999,17.0462,0.025
0.27499999999999997,0.9249999999999999,17.0462,0.025
0.325,0.9249999999999999,17.0462,0.025
0.375,0.9249999999999999,17.0462,0.025
0.425,0.9249999999999999,17.0462,0.025
0.475,0.9249999999999999,17.0462,0.025
0.025,0.975,17.0462,0.025
0.075,0.975,17.0462,0.025
0.125,0.975,17.0462,0.025
0.175,0.975,17.0462,0.025
0.22499999999999998,0.975,17.0462,0.025
0.27499999999999997,0.975,17.0462,0.025
0.325,0.975,17.0462,0.025
0.375,0.975,17.0462,0.025
0.425,0.975,17.0462,0.025
0.475,0.975,17.0462,0.025
0.025,1.025,17.0462,0.025
0.075,1.025,17.0462,0.025
0.125,1.025,17.0462,0.025
0.175,1.025,17.0462,0.025
0.22499999999999998,1.025,17.0462,0.025
0.27499999999999997,1.025,17.0462,0.025
0.325,1.025,17.0462,0.025
0.375,1.025,17.0462,0.025
0.425,1.025,17.0462,0.025
0.475,1.025,17.0462,0.025
0.025,1.0749999999999997,17.0462,0.025
0.075,1.0749999999999997,17.0462,0.025
0.125,1.0749999999999997,17.0462,0.025
0.175,1.0749999999999997,17.0462,0.025
0.22499999999999998,1.0749999999999997,17.0462,0.025
0.27499999999999997,1.0749999999999997,17.0462,0.025
0.325,1.0749999999999997,17.0462,0.025
0.375,1.0749999999999997,17.0462,0.025
0.425,1.0749999999999997,17.0462,0.025
0.475,1.0749999999999997,17.0462,0.025
0.025,1.1249999999999998,17.0462,0.025
0.075,1.1249999999999998,17.0462,0.025
0.125,1.1249999999999998,17.0462,0.025
0.175,1.1249999999999998,17.0462,0.025
0.22499999999999998,1.1249999999999998,17.0462,0.025
0.27499999999999997,1.1249999999999998,17.0462,0.025
0.325,1.1249999999999998,17.0462,0.025
0.375,1.1249999999999998,17.0462,0.025
0.425,1.1249999999999998,17.0462,0.025
0.475,1.1249999999999998,17.0462,0.025
0.025,1.1749999999999998,17.0462,0.025
