x,y,z,r
-2.475,-24.0296,-0.225,0.025
-2.475,-24.0296,-0.175,0.025
-2.475,-24.0296,-0.125,0.025
-2.475,-24.0296,-0.07499999999999998,0.025
-2.475,-24.0296,-0.024999999999999994,0.025
-2.475,-24.0296,0.024999999999999994,0.025
-2.475,-24.0296,0.07500000000000004,0.025
-2.475,-24.0296,0.12500000000000003,0.025
-2.475,-24.0296,0.17500000000000002,0.025
-2.475,-24.0296,0.225,0.025
-2.4250000000000003,-24.0296,-0.225,0.025
-2.4250000000000003,-24.0296,-0.175,0.025
-2.4250000000000003,-24.0296,-0.125,0.025
-2.4250000000000003,-24.0296,-0.07499999999999998,0.025
-2.4250000000000003,-24.0296,-0.024999999999999994,0.025
-2.4250000000000003,-24.0296,0.024999999999999994,0.025
-2.4250000000000003,-24.0296,0.07500000000000004,0.025
-2.4250000000000003,-24.0296,0.12500000000000003,0.025
-2.4250000000000003,-24.0296,0.17500000000000002,0.025
-2.4250000000000003,-24.0296,0.225,0.025
-2.375,-24.0296,-0.225,0.025
-2.375,-24.0296,-0.175,0.025
-2.375,-24.0296,-0.125,0.025
-2.375,-24.0296,-0.07499999999999998,0.025
-2.375,-24.0296,-0.024999999999999994,0.025
-2.375,-24.0296,0.024999999999999994,0.025
-2.375,-24.0296,0.07500000000000004,0.025
-2.375,-24.0296,0.12500000000000003,0.025
-2.375,-24.0296,0.17500000000000002,0.025
-2.375,-24.0296,0.225,0.025
-2.325,-24.0296,-0.225,0.025
-2.325,-24.0296,-0.175,0.025
-2.325,-24.0296,-0.125,0.025
-2.325,-24.0296,-0.07499999999999998,0.025
-2.325,-24.0296,-0.024999999999999994,0.025
-2.325,-24.0296,0.024999999999999994,0.025
-2.325,-24.0296,0.07500000000000004,0.025
-2.325,-24.0296,0.12500000000000003,0.025
-2.325,-24.0296,0.17500000000000002,0.025
-2.325,-24.0296,0.225,0.025
-2.275,-24.0296,-0.225,0.025
-2.275,-24.0296,0.225,0.025
-2.225,-24.0296,-0.225,0.025
-2.225,-24.0296,0.225,0.025
-2.175,-24.0296,-0.225,0.025
-2.175,-24.0296,0.225,0.025
-2.125,-24.0296,-0.225,0.025
-2.125,-24.0296,0.225,0.025
-2.075,-24.0296,-0.225,0.025
-2.075,-24.0296,0.225,0.025
-2.025,-24.0296,-0.225,0.025
-2.025,-24.0296,0.225,0.025
-1.975,-24.0296,-0.225,0.025
-1.975,-24.0296,0.225,0.025
-1.925,-24.0296,-0.225,0.025
-1.925,-24.0296,0.225,0.025
-1.875,-24.0296,-0.225,0.025
-1.875,-24.0296,0.225,0.025
-1.8250000000000002,-24.0296,-0.225,0.025
-1.8250000000000002,-24.0296,0.225,0.025
-1.775,-24.0296,-0.225,0.025
-1.775,-24.0296,0.225,0.025
-1.725,-24.0296,-0.225,0.025
-1.725,-24.0296,0.225,0.025
-1.675,-24.0296,-0.225,0.025
-1.675,-24.0296,0.225,0.025
-1.625,-24.0296,-0.225,0.025
-1.625,-24.0296,0.225,0.025
-1.5750000000000002,-24.0296,-0.225,0.025
-1.5750000000000002,-24.0296,0.225,0.025
-1.525,-24.0296,-0.225,0.025
-1.525,-24.0296,0.225,0.025
-1.475,-24.0296,-0.225,0.025
-1.475,-24.0296,-0.175,0.025
-1.475,-24.0296,-0.125,0.025
-1.475,-24.0296,-0.07499999999999998,0.025
-1.475,-24.0296,-0.024999999999999994,0.025
-1.475,-24.0296,0.024999999999999994,0.025
-1.475,-24.0296,0.07500000000000004,0.025
-1.475,-24.0296,0.12500000000000003,0.025
-1.475,-24.0296,0.17500000000000002,0.025
-1.475,-24.0296,0.225,0.025
-1.425,-24.0296,-0.225,0.025
-1.425,-24.0296,-0.175,0.025
-1.425,-24.0296,-0.125,0.025
-1.425,-24.0296,-0.07499999999999998,0.025
-1.425,-24.0296,-0.024999999999999994,0.025
-1.425,-24.0296,0.024999999999999994,0.025
-1.425,-24.0296,0.07500000000000004,0.025
-1.425,-24.0296,0.12500000000000003,0.025
-1.425,-24.0296,0.17500000000000002,0.025
-1.425,-24.0296,0.225,0.025
-1.375,-24.0296,-0.225,0.025
-1.375,-24.0296,-0.175,0.025
-1.375,-24.0296,-0.125,0.025
-1.375,-24.0296,-0.07499999999999998,0.025
-1.375,-24.0296,-0.024999999999999994,0.025
-1.375,-24.0296,0.024999999999999994,0.025
-1.375,-24.0296,0.07500000000000004,0.025
-1.375,-24.0296,0.12500000000000003,0.025
-1.375,-24.0296,0.17500000000000002,0.025
-1.375,-24.0296,0.225,0.025
-1.325,-24.0296,-0.225,0.025
-1.325,-24.0296,-0.175,0.025
-1.325,-24.0296,-0.125,0.025
